Idx;Coordinates;Altitude
1;45˚00.300'N 37˚20.883'E;141
11;41˚36.567'N 41˚36.017'E;33
21;43˚12.333'N 44˚36.350'E;1722
6;44˚34.367'N 38˚00.700'E;72
10;43˚06.850'N 40˚34.183'E;68
13;41˚55.783'N 41˚51.800'E;59
2;45˚05.217'N 38˚56.417'E;98
8;45˚02.267'N 39˚11.300'E;112
4;44˚58.067'N 37˚59.700'E;66
14;42˚10.650'N 42˚28.883'E;148
5;44˚40.867'N 40˚02.133'E;591
15;41˚13.667'N 43˚04.883'E;1050
17;44˚13.667'N 44˚36.350'E;509
16;43˚30.850'N 43˚38.217'E;1411
3;44˚40.083'N 37˚46.700'E;131
12;42˚14.450'N 42˚02.883'E;43
7;43˚26.650'N 39˚56.467'E;9
19;41˚38.967'N 44˚56.300'E;1500
9;42˚51.667'N 41˚07.517'E;43
18;41˚40.017'N 44˚57.383'E;1575
20;41˚37.733'N 45˚01.633'E;1526
