Idx;Coordinates;Altitude
1;25˚52.550'N 55˚01.967'E;16
22;24˚27.217'N 54˚39.250'E;92
25;24˚15.683'N 55˚36.550'E;814
4;24˚14.883'N 54˚32.850'E;52
6;24˚53.817'N 55˚09.600'E;125
12;25˚01.600'N 55˚21.933'E;190
23;24˚25.683'N 54˚27.500'E;13
2;27˚13.050'N 56˚22.733'E;20
3;26˚31.933'N 54˚49.467'E;82
21;25˚39.267'N 57˚48.083'E;26
5;25˚15.367'N 55˚21.900'E;16
7;25˚06.650'N 56˚19.633'E;121
9;27˚09.483'N 56˚10.317'E;52
27;28˚43.400'N 57˚40.500'E;2664
18;30˚16.383'N 56˚57.083'E;5745
10;26˚10.183'N 56˚14.400'E;102
24;26˚31.683'N 53˚58.850'E;115
11;27˚40.483'N 54˚22.983'E;2635
26;26˚48.650'N 53˚21.183'E;75
29;23˚39.033'N 53˚49.450'E;400
13;26˚45.267'N 55˚54.133'E;26
28;25˚36.800'N 55˚56.317'E;72
20;24˚26.450'N 54˚31.017'E;10
14;25˚19.833'N 55˚31.083'E;98
19;29˚32.450'N 52˚35.450'E;4879
17;25˚13.000'N 54˚14.017'E;26
15;25˚54.567'N 54˚32.350'E;20
8;26˚15.517'N 55˚18.933'E;43
16;26˚14.583'N 55˚08.733'E;16
