Idx;Coordinates;Altitude
1;35˚43.933'N 37˚06.250'E;820
2;36˚58.917'N 35˚16.817'E;56
43;34˚35.400'N 32˚59.300'E;69
3;34˚34.150'N 36˚34.300'E;1729
9;33˚36.583'N 36˚44.950'E;2067
27;36˚10.833'N 37˚13.467'E;1254
4;33˚55.117'N 36˚51.950'E;2750
21;35˚24.033'N 35˚56.900'E;92
6;33˚49.667'N 35˚29.250'E;39
7;33˚25.517'N 36˚31.100'E;2008
48;35˚09.283'N 33˚30.133'E;312
10;32˚26.450'N 35˚00.450'E;110
11;36˚56.867'N 37˚28.733'E;2290
41;36˚17.933'N 32˚17.900'E;130
49;35˚14.150'N 33˚43.150'E;148
12;32˚32.350'N 38˚11.700'E;2257
13;32˚48.633'N 35˚02.600'E;20
14;35˚07.083'N 36˚42.683'E;984
15;36˚21.733'N 36˚17.250'E;253
16;37˚00.117'N 35˚25.567'E;230
17;36˚05.800'N 37˚56.167'E;1173
18;33˚03.967'N 36˚34.333'E;2418
19;32˚21.383'N 36˚15.583'E;2205
44;35˚00.883'N 33˚43.017'E;276
20;33˚12.950'N 35˚35.750'E;360
31;36˚11.233'N 37˚34.900'E;1201
47;35˚06.283'N 33˚19.283'E;758
46;34˚52.417'N 33˚37.433'E;16
22;33˚30.000'N 36˚28.017'E;2008
8;33˚29.233'N 36˚28.517'E;2007
23;33˚17.333'N 36˚27.367'E;2161
24;32˚35.817'N 35˚13.800'E;180
25;33˚28.667'N 36˚13.450'E;2387
26;36˚31.267'N 37˚02.483'E;1614
51;33˚06.467'N 35˚07.633'E;381
42;35˚09.083'N 33˚16.550'E;722
28;34˚33.433'N 38˚19.000'E;1325
45;34˚43.083'N 32˚29.083'E;40
50;35˚16.433'N 33˚16.083'E;771
29;33˚27.517'N 36˚21.450'E;2135
30;32˚39.967'N 35˚10.617'E;146
32;33˚51.067'N 35˚59.233'E;3035
33;34˚35.350'N 36˚00.700'E;23
34;32˚58.850'N 35˚34.300'E;914
35;33˚40.783'N 37˚12.967'E;2274
36;34˚29.400'N 36˚54.450'E;2638
37;35˚45.267'N 38˚34.000'E;1099
38;35˚58.433'N 36˚46.883'E;1020
5;32˚42.233'N 36˚24.817'E;2414
39;34˚31.350'N 37˚37.800'E;1798
40;34˚16.883'N 35˚40.800'E;641
