Idx;Coordinates;Altitude
5;36˚51.650'N 116˚47.183'W;3171
6;35˚56.917'N 114˚51.700'W;2205
1;36˚35.017'N 115˚40.583'W;3127
7;36˚18.650'N 114˚27.833'W;1549
2;37˚14.000'N 115˚47.533'W;4495
8;35˚58.333'N 115˚08.117'W;2493
9;35˚46.150'N 115˚19.817'W;2825
10;35˚09.350'N 114˚33.567'W;673
11;37˚47.233'N 114˚25.183'W;4816
3;36˚04.583'N 115˚08.667'W;2178
12;36˚49.983'N 114˚03.350'W;1857
13;38˚22.783'N 118˚05.800'W;4560
4;36˚14.100'N 115˚01.967'W;1857
14;36˚12.583'N 115˚11.783'W;2228
15;37˚06.117'N 116˚18.767'W;5059
16;38˚03.483'N 117˚05.367'W;5390
17;37˚47.917'N 116˚46.833'W;5535
